,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
250,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
251,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
252,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
253,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
254,Hyundai,Elite i20,2019,9.25,Petrol,"37,000",Bangalore,"₹15,361"
255,Honda,Amaze 1,2014,4.15,Petrol,"28,000",Mumbai,
256,Volkswagen,Vento Highline,2015,5.25,Petrol,"92,194",Mumbai,"₹8,718"
257,Hyundai,i10 Magna,2008,1.1,Petrol,"68,187",Berhampore,
258,BMW,3 Series,2016,,Diesel,"61,100",Mumbai,"₹44,838"
259,Porsche,Panamera GT,2022,2.38,Petrol,"1,900",Mumbai,₹3.95 L
260,Hyundai,Eon Magna,2012,1.85,Petrol,"55,700",Jamshedpur,"₹3,072"
261,Honda,City VX,2018,9.95,Petrol,"42,000",Delhi,"₹16,523"
262,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
263,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
264,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
265,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
266,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
267,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
268,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
269,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
270,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
271,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
272,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
273,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
274,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
275,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
276,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
277,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
278,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
279,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
280,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
281,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
282,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
283,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
284,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
285,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
286,BMW,X1 sDrive20,2013,17.75,Diesel,"33,000",Bangalore,"₹29,476"
287,Skoda,Rapid Ambition,2019,10.25,Diesel,"1,11",Bangalore,"₹17,021"
288,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
289,Hyundai,Venue S,2022,8.55,Petrol,"5,441",Mumbai,"₹14,198"
290,Maruti,Suzuki Ciaz,2015,5.85,Petrol,"74,000",Delhi,"₹9,714"
291,BMW,X7 xDrive40i,2021,1.21,Petrol,"25,000",Delhi,₹2.01 L
292,Audi,e-tron,2021,1.05,Electric,"16,945",Pune,₹1.74 L
293,Mercedes,Benz E,2018,47.75,Diesel,"15,000",Delhi,"₹79,296"
294,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
295,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
296,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
297,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
298,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
299,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
300,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
301,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
302,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
303,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
304,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
305,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
306,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
307,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
308,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
309,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
310,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
311,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
312,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
313,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
314,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
315,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
316,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
317,Mercedes,Benz GLE,2017,45.5,Diesel,"34,000",Mumbai,"₹75,560"
318,Hyundai,i10 Magna,2008,1.1,Petrol,"68,187",Berhampore,
319,Hyundai,Grand i10,2020,7.75,Petrol,"17,000",Mumbai,
320,Volvo,S90 D4,2019,45.9,Diesel,"18,375",Delhi,"₹76,224"
321,Honda,City V,2018,8.7,Petrol,"68,143",Delhi,"₹14,447"
322,Audi,A3 35,2019,,Diesel,"75,000",Chennai,"₹39,856"
323,Maruti,Suzuki Baleno,2015,4.9,Diesel,"65,000",Delhi,"₹8,137"
324,Toyota,Innova 2,2014,8.95,Diesel,"1,45",Mumbai,
325,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
326,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
327,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
328,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
329,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
330,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
331,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
332,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
333,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
334,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
335,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
336,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
337,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
338,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
339,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
340,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
341,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
